admission_date,gender,age,admission_count
2017-03-21,Female,21,1
2017-03-21,Female,25,1
2017-03-21,Female,28,1
2017-03-21,Female,3,1
2017-03-21,Female,30,2
2017-03-21,Female,31,1
2017-03-21,Female,33,1
2017-03-21,Female,35,1
2017-03-21,Female,40,1
2017-03-21,Female,42,1
2017-03-21,Female,44,2
2017-03-21,Female,48,1
2017-03-21,Female,49,2
2017-03-21,Female,50,1
2017-03-21,Female,51,1
2017-03-21,Female,55,1
2017-03-21,Female,56,1
2017-03-21,Female,59,1
2017-03-21,Female,60,2
2017-03-21,Female,62,1
2017-03-21,Female,63,2
2017-03-21,Female,64,1
2017-03-21,Female,65,1
2017-03-21,Female,67,3
2017-03-21,Female,68,1
2017-03-21,Female,69,2
2017-03-21,Female,70,1
2017-03-21,Female,71,1
2017-03-21,Female,73,1
2017-03-21,Female,74,1
2017-03-21,Female,75,2
2017-03-21,Female,76,1
2017-03-21,Female,79,1
2017-03-21,Female,83,1
2017-03-21,Female,94,2
2017-03-21,Male,17,1
2017-03-21,Male,19,1
2017-03-21,Male,20,1
2017-03-21,Male,21,3
2017-03-21,Male,23,4
2017-03-21,Male,25,2
2017-03-21,Male,26,2
2017-03-21,Male,29,1
2017-03-21,Male,3,1
2017-03-21,Male,32,1
2017-03-21,Male,33,1
2017-03-21,Male,34,1
2017-03-21,Male,35,2
2017-03-21,Male,37,1
2017-03-21,Male,38,1
2017-03-21,Male,39,1
2017-03-21,Male,41,1
2017-03-21,Male,44,1
2017-03-21,Male,46,1
2017-03-21,Male,48,2
2017-03-21,Male,49,1
2017-03-21,Male,5,1
2017-03-21,Male,50,1
2017-03-21,Male,52,2
2017-03-21,Male,53,1
2017-03-21,Male,56,1
2017-03-21,Male,57,1
2017-03-21,Male,58,1
2017-03-21,Male,60,3
2017-03-21,Male,61,1
2017-03-21,Male,62,1
2017-03-21,Male,65,1
2017-03-21,Male,66,1
2017-03-21,Male,67,2
2017-03-21,Male,70,1
2017-03-21,Male,75,1
2017-03-21,Male,76,1
2017-03-21,Male,77,2
2017-03-21,Male,78,1
2017-03-21,Male,79,1
2017-03-21,Male,80,1
2017-03-21,Male,82,1
2017-03-21,Male,85,1
2017-03-21,Male,9,1
2017-03-22,Female,16,1
2017-03-22,Female,2,1
2017-03-22,Female,22,2
2017-03-22,Female,25,1
2017-03-22,Female,26,1
2017-03-22,Female,27,1
2017-03-22,Female,28,1
2017-03-22,Female,29,2
2017-03-22,Female,3,2
2017-03-22,Female,30,1
2017-03-22,Female,31,2
2017-03-22,Female,33,1
2017-03-22,Female,36,3
2017-03-22,Female,39,1
2017-03-22,Female,40,1
2017-03-22,Female,44,1
2017-03-22,Female,47,1
2017-03-22,Female,48,1
2017-03-22,Female,50,3
2017-03-22,Female,52,2
2017-03-22,Female,53,1
2017-03-22,Female,54,1
2017-03-22,Female,59,1
2017-03-22,Female,60,1
2017-03-22,Female,61,1
2017-03-22,Female,63,1
2017-03-22,Female,66,1
2017-03-22,Female,69,1
2017-03-22,Female,70,2
2017-03-22,Female,72,1
2017-03-22,Female,75,1
2017-03-22,Female,76,1
2017-03-22,Female,79,2
2017-03-22,Female,80,1
2017-03-22,Female,83,1
2017-03-22,Female,86,1
2017-03-22,Female,91,1
2017-03-22,Male,11,1
2017-03-22,Male,12,1
2017-03-22,Male,13,1
2017-03-22,Male,15,1
2017-03-22,Male,17,1
2017-03-22,Male,18,2
2017-03-22,Male,19,1
2017-03-22,Male,23,1
2017-03-22,Male,24,2
2017-03-22,Male,25,3
2017-03-22,Male,27,1
2017-03-22,Male,28,3
2017-03-22,Male,29,3
2017-03-22,Male,30,1
2017-03-22,Male,32,3
2017-03-22,Male,34,2
2017-03-22,Male,35,1
2017-03-22,Male,36,1
2017-03-22,Male,38,2
2017-03-22,Male,39,1
2017-03-22,Male,40,1
2017-03-22,Male,46,1
2017-03-22,Male,47,1
2017-03-22,Male,50,1
2017-03-22,Male,56,3
2017-03-22,Male,58,1
2017-03-22,Male,60,1
2017-03-22,Male,62,3
2017-03-22,Male,63,2
2017-03-22,Male,68,1
2017-03-22,Male,7,1
2017-03-22,Male,71,1
2017-03-22,Male,73,2
2017-03-22,Male,75,1
2017-03-22,Male,78,2
2017-03-22,Male,80,1
2017-03-22,Male,81,1
2017-03-22,Male,84,1
2017-03-22,Male,88,1
2017-03-22,Male,89,1
2017-03-23,Female,16,1
2017-03-23,Female,2,1
2017-03-23,Female,20,1
